ifeng.com,123.103.122.24
yandex.ru,77.88.55.66
cnet.com,35.190.79.82
bbc.co.uk,151.101.0.81
4399.com,118.184.184.70
myspace.com,63.135.90.70
skype.com,40.121.80.200
orkut.com,216.239.38.21
naver.com,210.89.160.88
ameblo.jp,151.101.65.83
go.com,23.236.60.174
4shared.com,204.155.149.41
linkedin.com,108.174.10.10
flickr.com,13.249.203.247
dailymotion.com,195.8.215.136
aol.com,67.195.231.10
amazon.co.jp,52.119.161.5
hotmail.com,204.79.197.212
360.cn,36.110.213.10
imdb.com,52.94.237.74
craigslist.org,208.82.237.1
softonic.com,35.244.172.133
mail.ru,217.69.139.200
goo.ne.jp,153.254.147.65
nifty.com,222.158.213.148
alipay.com,110.75.129.5
soku.com,106.11.186.1
imageshack.us,208.94.3.18
weather.com,23.1.133.227
alibaba.com,205.204.101.142
tianya.cn,124.225.65.154
mywebsearch.com,74.113.237.222
livedoor.jp,203.104.153.16
cnn.com,151.101.65.67
blogger.com,172.217.12.9
zynga.com,99.84.224.68
partypoker.com,195.72.135.96
hp.com,15.72.228.83
answers.com,151.101.128.203
walmart.com,161.170.230.170
rapidshare.com,0.0.0.0
kugou.com,183.131.48.92
daum.net,211.231.99.17
ebay.de,66.135.195.175
7k7k.com,106.75.22.155
youdao.com,61.135.218.30
2345.com,42.62.30.180
hotfile.com,18.207.9.28
vkontakte.ru,87.240.190.67
photobucket.com,209.17.68.100
mediafire.com,104.16.202.237
ehow.com,172.226.187.184
seesaa.net,59.106.28.142
pconline.com.cn,219.136.244.85
odnoklassniki.ru,217.20.147.1
qiyi.com,101.227.188.178
jp.msn.com,13.88.15.24
renren.com,120.133.2.243
paipai.com,
megaupload.com,
